n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.800000E+01  -0.132525E-06   0.219178E+00   0.218227E+00   0.528838E+00   0.522798E+00   0.102766E+03   0.179990E+03   0.584911E-03      0.167307E+00        0.226424E+00        0.249641E+00        0.166662E+00        0.225030E+00        0.248378E+00        0.440626E+03        0.574915E+03        0.677966E+03     0.165312E-06   0.136048E-05  -0.504378E-07   0.181733E-05   0.131341E+00   0.684029E+00   0.251914E+00   0.150848E+00   0.239801E+00   0.150121E+00  -0.126414E-01      0.175709E+04     0.000000E+00    0.100010E+05
   1  prmtr  0.000000E+00   0.800000E+01  -0.132525E-06   0.219178E+00   0.218227E+00   0.528838E+00   0.522798E+00   0.104272E+03   0.179980E+03   0.584911E-03      0.167307E+00        0.226424E+00        0.249641E+00        0.166662E+00        0.225030E+00        0.248378E+00        0.496784E+02        0.639198E+02        0.753771E+02     0.165312E-06   0.136048E-05  -0.504378E-07   0.181733E-05   0.131341E+00   0.144866E+00   0.251914E+00   0.150848E+00   0.239801E+00   0.150121E+00  -0.796604E-02      0.178276E+04     0.000000E+00    0.100010E+05
   2  drift  0.552000E+00   0.800000E+01  -0.132524E-06   0.214530E+00   0.214555E+00   0.514301E+00   0.517797E+00   0.104271E+03   0.179999E+03   0.584911E-03      0.167307E+00        0.226424E+00        0.249641E+00        0.166662E+00        0.225030E+00        0.248378E+00        0.496778E+02        0.639994E+02        0.754709E+02     0.240410E-06   0.136048E-05   0.498788E-07   0.181733E-05   0.131341E+00   0.110185E+00  -0.137241E+00   0.144518E+00  -0.149047E+00   0.145111E+00  -0.786985E-02      0.178273E+04     0.000000E+00    0.100010E+05
   3  drift  0.602000E+00   0.800000E+01  -0.132524E-06   0.215676E+00   0.215784E+00   0.519122E+00   0.520205E+00   0.104271E+03   0.179994E+03   0.584911E-03      0.167307E+00        0.226424E+00        0.249641E+00        0.166662E+00        0.225030E+00        0.248378E+00        0.496777E+02        0.640228E+02        0.754986E+02     0.247213E-06   0.136048E-05   0.589655E-07   0.181733E-05   0.131341E+00   0.146300E+00  -0.172490E+00   0.146066E+00  -0.184269E+00   0.146778E+00  -0.790010E-02      0.178273E+04     0.000000E+00    0.100010E+05
   4  quad   0.852000E+00   0.800000E+01  -0.132524E-06   0.377156E+00   0.103135E+00   0.911972E+00   0.246025E+00   0.104270E+03   0.180000E+03   0.584911E-03      0.167352E+00        0.226819E+00        0.251463E+00        0.166685E+00        0.224887E+00        0.248494E+00        0.496774E+02        0.639860E+02        0.755443E+02     0.367303E-06  -0.693309E-05  -0.380792E-06  -0.336753E-04   0.131341E+00   0.157480E+00  -0.165261E+02   0.446552E+00   0.262682E+01   0.335259E-01  -0.783766E-02      0.178272E+04     0.000000E+00    0.100010E+05
   5  drift  0.952000E+00   0.800000E+01  -0.132524E-06   0.516804E+00   0.380110E-01   0.124908E+01   0.921383E-01   0.104270E+03   0.179999E+03   0.584911E-03      0.167352E+00        0.226819E+00        0.251463E+00        0.166685E+00        0.224887E+00        0.248494E+00        0.496770E+02        0.639605E+02        0.756034E+02     0.297972E-06  -0.693309E-05  -0.717546E-06  -0.336753E-04   0.131341E+00   0.171091E+00  -0.226645E+02   0.838457E+00   0.270372E+00   0.455388E-02  -0.835942E-02      0.178272E+04     0.000000E+00    0.100010E+05
   6  quad   0.120200E+01   0.800000E+01  -0.132524E-06   0.561101E+00   0.247064E+00   0.135460E+01   0.595139E+00   0.104269E+03   0.179998E+03   0.584911E-03      0.167343E+00        0.226030E+00        0.247027E+00        0.166698E+00        0.225009E+00        0.248354E+00        0.496766E+02        0.640414E+02        0.756096E+02     0.448603E-06   0.426438E-05  -0.223645E-05  -0.112357E-03   0.131341E+00   0.831311E-01   0.189188E+02   0.988405E+00  -0.102354E+02   0.192375E+00  -0.845583E-02      0.178271E+04     0.000000E+00    0.100010E+05
   7  drift  0.130200E+01   0.800000E+01  -0.132524E-06   0.453738E+00   0.378734E+00   0.109451E+01   0.912945E+00   0.104268E+03   0.179988E+03   0.584911E-03      0.167343E+00        0.226030E+00        0.247027E+00        0.166698E+00        0.225009E+00        0.248354E+00        0.496763E+02        0.640548E+02        0.756255E+02     0.491246E-06   0.426438E-05  -0.336002E-05  -0.112357E-03   0.131341E+00   0.977391E-01   0.152875E+02   0.646342E+00  -0.157332E+02   0.452062E+00  -0.846639E-02      0.178270E+04     0.000000E+00    0.100010E+05
   8  quad   0.155200E+01   0.800000E+01  -0.132524E-06   0.320615E+00   0.547832E+00   0.769357E+00   0.132046E+01   0.104267E+03   0.179991E+03   0.584911E-03      0.167307E+00        0.226057E+00        0.247327E+00        0.166660E+00        0.224950E+00        0.248839E+00        0.496756E+02        0.640779E+02        0.757422E+02     0.649927E-06   0.149805E-04  -0.405528E-05   0.460376E-04   0.131341E+00   0.182306E+00   0.521940E+00   0.322786E+00   0.772423E+00   0.946068E+00  -0.898660E-02      0.178269E+04     0.000000E+00    0.100010E+05
   9  drift  0.160200E+01   0.800000E+01  -0.132524E-06   0.318062E+00   0.545603E+00   0.763067E+00   0.131496E+01   0.104267E+03   0.179994E+03   0.584911E-03      0.167307E+00        0.226057E+00        0.247327E+00        0.166660E+00        0.224950E+00        0.248839E+00        0.496754E+02        0.641019E+02        0.757705E+02     0.724829E-06   0.149805E-04  -0.382509E-05   0.460376E-04   0.131341E+00   0.146361E+00   0.502230E+00   0.317666E+00   0.763985E+00   0.938386E+00  -0.941758E-02      0.178270E+04     0.000000E+00    0.100010E+05
