       z[cm]          X-avg[cm]        X'-avg[mrad]       Y-avg[cm]        Y'-avg[mrad]      Phi-avg[deg]      W-avg[MeV/u]       X-rms[cm]        X'-rms[mrad]       Y-rms[cm]        Y'-rms[mrad]      Phi-rms[deg]      dW/W-rms[%]        X-max[cm]        X'-max[mrad]       Y-max[cm]        Y'-max[mrad]      Phi-max[deg]      dW/W-max[%]      X-emi[cm*mrad]    Y-emi[cm*mrad]    Z-emi[keV/u*ns] 
  0.000000000E+00   0.165328363E-02   0.136061886E-01  -0.504427997E-03   0.181751150E-01   0.170729574E-01   0.799989397E+01   0.219177771E+00   0.149836923E+01   0.218227323E+00   0.149488881E+01   0.102771810E+03   0.584910952E-01   0.529281292E+00   0.358954948E+01   0.523302484E+00   0.358175440E+01   0.179996619E+03   0.101310637E+00   0.418268454E-01   0.416655711E-01   0.110159493E+03
  0.000000000E+00   0.165328363E-02   0.136061886E-01  -0.504427997E-03   0.181751150E-01   0.170729574E-01   0.799989397E+01   0.219177771E+00   0.149836923E+01   0.218227323E+00   0.149488881E+01   0.102771810E+03   0.584910952E-01   0.529281292E+00   0.358954948E+01   0.523302484E+00   0.358175440E+01   0.179996619E+03   0.101310637E+00   0.418268454E-01   0.416655711E-01   0.110159493E+03
  0.000000000E+00   0.165311832E-06   0.136048282E-05  -0.504377559E-07   0.181732977E-05   0.119385655E-01   0.799999999E+01   0.219177771E+00   0.149836922E+01   0.218227323E+00   0.149488880E+01   0.102765878E+03   0.584910937E-01   0.528837925E+00   0.360315567E+01   0.522798056E+00   0.359992951E+01   0.179989624E+03   0.102636015E+00   0.418268450E-01   0.416655708E-01   0.110156397E+03
  0.000000000E+00   0.165311832E-06   0.136048282E-05  -0.504377559E-07   0.181732977E-05   0.252838695E-02   0.799999999E+01   0.219177771E+00   0.149836922E+01   0.218227323E+00   0.149488880E+01   0.104272135E+03   0.584910937E-01   0.528837925E+00   0.360315567E+01   0.522798056E+00   0.359992951E+01   0.179979542E+03   0.102636015E+00   0.418268450E-01   0.416655708E-01   0.124195957E+02
  0.000000000E+00   0.165311832E-06   0.136048282E-05  -0.504377559E-07   0.181732977E-05   0.252838695E-02   0.799999999E+01   0.219177771E+00   0.149836922E+01   0.218227323E+00   0.149488880E+01   0.104272135E+03   0.584910937E-01   0.528837925E+00   0.360315567E+01   0.522798056E+00   0.359992951E+01   0.179979542E+03   0.102636015E+00   0.418268450E-01   0.416655708E-01   0.124195957E+02
  0.788571429E+01   0.176040211E-06   0.136048282E-05  -0.361068126E-07   0.181732977E-05   0.190341050E-02   0.799999999E+01   0.216594676E+00   0.149836922E+01   0.215783122E+00   0.149488880E+01   0.104271995E+03   0.584910937E-01   0.522574389E+00   0.360315567E+01   0.518326251E+00   0.359992951E+01   0.179981765E+03   0.102636015E+00   0.418268450E-01   0.416655708E-01   0.124195424E+02
  0.157714286E+02   0.186768589E-06   0.136048282E-05  -0.217758693E-07   0.181732977E-05   0.190668976E-02   0.799999999E+01   0.214631857E+00   0.149836922E+01   0.213961383E+00   0.149488880E+01   0.104271809E+03   0.584910937E-01   0.516310854E+00   0.360315567E+01   0.515416522E+00   0.359992951E+01   0.179997695E+03   0.102636015E+00   0.418268450E-01   0.416655708E-01   0.124195427E+02
  0.236571429E+02   0.197496968E-06   0.136048282E-05  -0.744492596E-08   0.181732977E-05   0.253822472E-02   0.799999999E+01   0.213306439E+00   0.149836922E+01   0.212778095E+00   0.149488880E+01   0.104271573E+03   0.584910937E-01   0.510918602E+00   0.360315567E+01   0.513156150E+00   0.359992951E+01   0.179981493E+03   0.102636015E+00   0.418268450E-01   0.416655708E-01   0.124194869E+02
  0.315428571E+02   0.208225347E-06   0.136048282E-05   0.688601735E-08   0.181732977E-05   0.191324827E-02   0.799999999E+01   0.212630340E+00   0.149836922E+01   0.212243936E+00   0.149488880E+01   0.104271428E+03   0.584910937E-01   0.510284216E+00   0.360315567E+01   0.510895778E+00   0.359992951E+01   0.179993548E+03   0.102636015E+00   0.418268450E-01   0.416655708E-01   0.124194538E+02
  0.394285714E+02   0.218953726E-06   0.136048282E-05   0.212169607E-07   0.181732977E-05   0.191652753E-02   0.799999999E+01   0.212609756E+00   0.149836922E+01   0.212363804E+00   0.149488880E+01   0.104271237E+03   0.584910937E-01   0.509649829E+00   0.360315567E+01   0.510201513E+00   0.359992951E+01   0.179976778E+03   0.102636015E+00   0.418268450E-01   0.416655708E-01   0.124194541E+02
