       z[cm]          X-avg[cm]        X'-avg[mrad]       Y-avg[cm]        Y'-avg[mrad]      Phi-avg[deg]      W-avg[MeV/u]       X-rms[cm]        X'-rms[mrad]       Y-rms[cm]        Y'-rms[mrad]      Phi-rms[deg]      dW/W-rms[%]        X-max[cm]        X'-max[mrad]       Y-max[cm]        Y'-max[mrad]      Phi-max[deg]      dW/W-max[%]      X-emi[cm*mrad]    Y-emi[cm*mrad]    Z-emi[keV/u*ns] 
  0.000000000E+00   0.206471861E-02   0.406280624E-01  -0.644706942E-03   0.729793466E-01   0.170729574E-01   0.585992259E+01   0.273645419E+00   0.609263994E+01   0.279187741E+00   0.621303386E+01   0.102771810E+03   0.582911158E-01   0.660809472E+00   0.146012725E+02   0.669473078E+00   0.149526404E+02   0.179996619E+03   0.100963906E+00   0.167307382E+00   0.174995398E+00   0.804159457E+02
  0.000000000E+00   0.206471861E-02   0.406280624E-01  -0.644706942E-03   0.729793466E-01   0.170729574E-01   0.585992259E+01   0.273645419E+00   0.609263994E+01   0.279187741E+00   0.621303386E+01   0.102771810E+03   0.582911158E-01   0.660809472E+00   0.146012725E+02   0.669473078E+00   0.149526404E+02   0.179996619E+03   0.100963906E+00   0.167307382E+00   0.174995398E+00   0.804159457E+02
  0.000000000E+00   0.206451216E-06   0.406240000E-05  -0.644642477E-07   0.729720494E-05   0.119385655E-01   0.585999999E+01   0.273645418E+00   0.609263993E+01   0.279187741E+00   0.621303381E+01   0.102765878E+03   0.582911143E-01   0.660262039E+00   0.145755937E+02   0.668828371E+00   0.150256198E+02   0.179989624E+03   0.102284870E+00   0.167307380E+00   0.174995397E+00   0.804136854E+02
  0.000000000E+00   0.206451216E-06   0.406240000E-05  -0.644642477E-07   0.729720494E-05   0.252838695E-02   0.585999999E+01   0.273645418E+00   0.609263993E+01   0.279187741E+00   0.621303381E+01   0.104272135E+03   0.582911143E-01   0.660262039E+00   0.145755937E+02   0.668828371E+00   0.150256198E+02   0.179979542E+03   0.102284870E+00   0.167307380E+00   0.174995397E+00   0.906625028E+01
  0.000000000E+00   0.206451216E-06   0.406240000E-05  -0.644642477E-07   0.729720494E-05   0.252838695E-02   0.585999999E+01   0.273645418E+00   0.609263993E+01   0.279187741E+00   0.621303381E+01   0.104272135E+03   0.582911143E-01   0.660262039E+00   0.145755937E+02   0.668828371E+00   0.150256198E+02   0.179979542E+03   0.102284870E+00   0.167307380E+00   0.174995397E+00   0.906625028E+01
  0.690000000E+01   0.234481776E-06   0.406240000E-05  -0.141135337E-07   0.729720494E-05   0.195382693E-02   0.585999999E+01   0.257497732E+00   0.609263993E+01   0.263155221E+00   0.621303381E+01   0.104272027E+03   0.582911143E-01   0.616937964E+00   0.145755937E+02   0.634639804E+00   0.150256198E+02   0.179979173E+03   0.102284870E+00   0.167307380E+00   0.174995397E+00   0.906621453E+01
  0.138000000E+02   0.262512336E-06   0.406240000E-05   0.362371804E-07   0.729720494E-05   0.200752261E-02   0.585999999E+01   0.247513515E+00   0.609263993E+01   0.253438766E+00   0.621303381E+01   0.104271873E+03   0.582911143E-01   0.592748853E+00   0.145755937E+02   0.610582746E+00   0.150256198E+02   0.179986738E+03   0.102284870E+00   0.167307380E+00   0.174995397E+00   0.906621789E+01
  0.207000000E+02   0.290542896E-06   0.406240000E-05   0.865878945E-07   0.729720494E-05   0.268947401E-02   0.585999999E+01   0.244449155E+00   0.609263993E+01   0.250773620E+00   0.621303381E+01   0.104271673E+03   0.582911143E-01   0.590839642E+00   0.145755937E+02   0.601636321E+00   0.150256198E+02   0.179999246E+03   0.102284870E+00   0.167307380E+00   0.174995397E+00   0.906618062E+01
  0.276000000E+02   0.318573456E-06   0.406240000E-05   0.136938609E-06   0.729720494E-05   0.211491399E-02   0.585999999E+01   0.248560718E+00   0.609263993E+01   0.255380639E+00   0.621303381E+01   0.104271558E+03   0.582911143E-01   0.596708395E+00   0.145755937E+02   0.604390194E+00   0.150256198E+02   0.179969878E+03   0.102284870E+00   0.167307380E+00   0.174995397E+00   0.906615947E+01
  0.345000000E+02   0.346604016E-06   0.406240000E-05   0.187289323E-06   0.729720494E-05   0.216860967E-02   0.585999999E+01   0.259507346E+00   0.609263993E+01   0.266883488E+00   0.621303381E+01   0.104271400E+03   0.582911143E-01   0.620516707E+00   0.145755937E+02   0.639067792E+00   0.150256198E+02   0.179976717E+03   0.102284870E+00   0.167307380E+00   0.174995397E+00   0.906616286E+01
  0.414000000E+02   0.374634576E-06   0.406240000E-05   0.237640037E-06   0.729720494E-05   0.222230536E-02   0.585999999E+01   0.276478364E+00   0.609263993E+01   0.284446802E+00   0.621303381E+01   0.104271248E+03   0.582911143E-01   0.672591899E+00   0.145755937E+02   0.679636882E+00   0.150256198E+02   0.179987906E+03   0.102284870E+00   0.167307380E+00   0.174995397E+00   0.906616626E+01
